iter	Passed	Remaining
0	152	152014
1	153	76646
2	154	51377
3	155	38733
4	156	31126
5	157	26036
6	157	22398
7	158	19678
8	159	17560
9	160	15861
10	160	14471
11	161	13314
12	162	12330
13	163	11493
14	164	10792
15	165	10186
16	166	9629
17	167	9129
18	168	8681
19	168	8278
20	169	7909
21	170	7575
22	171	7268
23	171	6989
24	172	6728
25	173	6490
26	174	6271
27	174	6065
28	175	5874
29	176	5694
30	176	5529
31	178	5387
32	180	5274
33	180	5136
34	181	5003
35	182	4878
36	182	4759
37	183	4647
38	184	4542
39	185	4442
40	185	4347
41	186	4257
42	187	4171
43	188	4088
44	188	4008
45	189	3932
46	192	3901
47	193	3843
48	194	3778
49	195	3714
50	196	3652
51	197	3591
52	197	3534
53	198	3477
54	199	3422
55	199	3369
56	200	3318
57	201	3268
58	202	3222
59	202	3177
60	203	3136
61	204	3098
62	206	3064
63	207	3027
64	207	2991
65	208	2954
66	209	2918
67	210	2884
68	211	2849
69	211	2815
70	212	2782
71	213	2750
72	214	2720
73	214	2690
74	215	2659
75	216	2631
76	217	2608
77	218	2588
78	219	2563
79	220	2538
80	221	2509
81	222	2485
82	222	2461
83	223	2438
84	224	2412
85	224	2389
86	225	2366
87	226	2344
88	226	2323
89	227	2301
90	228	2281
91	229	2261
92	229	2242
93	231	2227
94	232	2212
95	233	2195
96	234	2178
97	234	2161
98	235	2144
99	236	2127
100	237	2109
101	237	2093
102	238	2076
103	239	2061
104	239	2045
105	240	2031
106	241	2015
107	242	2001
108	243	1986
109	244	1977
110	245	1967
111	246	1954
112	247	1942
113	248	1928
114	248	1915
115	249	1902
116	250	1889
117	251	1877
118	251	1865
119	252	1853
120	253	1841
121	254	1829
122	254	1816
123	255	1805
124	256	1793
125	256	1782
126	258	1778
127	259	1768
128	260	1759
129	261	1749
130	262	1738
131	262	1728
132	263	1718
133	264	1708
134	264	1697
135	265	1688
136	266	1678
137	266	1667
138	267	1658
139	268	1649
140	269	1640
141	270	1631
142	270	1621
143	271	1616
144	272	1609
145	273	1601
146	274	1593
147	275	1584
148	275	1576
149	276	1567
150	277	1559
151	278	1553
152	279	1546
153	280	1539
154	280	1531
155	281	1524
156	282	1516
157	283	1508
158	285	1509
159	286	1503
160	287	1497
161	288	1490
162	288	1483
163	289	1476
164	290	1469
165	291	1463
166	291	1456
167	292	1449
168	293	1442
169	294	1435
170	294	1429
171	295	1423
172	296	1417
173	297	1412
174	299	1409
175	299	1404
176	300	1397
177	301	1391
178	302	1385
179	302	1379
180	303	1373
181	304	1367
182	305	1362
183	305	1356
184	306	1350
185	307	1345
186	307	1337
187	308	1331
188	309	1326
189	309	1320
190	310	1316
191	312	1313
192	312	1308
193	313	1303
194	314	1298
195	315	1292
196	315	1287
197	316	1283
198	317	1278
199	318	1273
200	319	1268
201	319	1263
202	320	1258
203	321	1252
204	321	1248
205	322	1243
206	323	1240
207	324	1237
208	325	1233
209	326	1229
210	327	1224
211	328	1220
212	329	1216
213	329	1211
214	330	1207
215	331	1203
216	332	1198
217	332	1194
218	333	1190
219	334	1185
220	335	1181
221	335	1177
222	336	1174
223	338	1170
224	339	1167
225	339	1164
226	340	1160
227	341	1156
228	342	1154
229	344	1151
230	345	1149
231	346	1146
232	347	1145
233	349	1143
234	351	1144
235	353	1145
236	355	1146
237	357	1145
238	359	1143
239	360	1141
240	361	1139
241	362	1136
242	365	1138
243	366	1135
244	367	1133
245	368	1130
246	369	1127
247	370	1123
248	371	1120
249	372	1117
250	373	1114
251	374	1111
252	375	1108
253	376	1105
254	377	1103
255	380	1104
256	381	1101
257	382	1099
258	383	1096
259	384	1093
260	385	1090
261	385	1087
262	386	1084
263	387	1081
264	388	1078
265	389	1075
266	390	1072
267	392	1070
268	394	1072
269	395	1069
270	396	1067
271	397	1064
272	398	1061
273	399	1058
274	400	1055
275	401	1052
276	401	1049
277	402	1046
278	403	1043
279	405	1041
280	407	1042
281	408	1039
282	409	1037
283	410	1034
284	411	1031
285	412	1028
286	412	1025
287	413	1023
288	414	1020
289	415	1017
290	416	1015
291	417	1012
292	418	1010
293	422	1013
294	423	1011
295	424	1008
296	425	1006
297	426	1003
298	427	1001
299	428	998
300	429	996
301	429	993
302	430	991
303	431	988
304	433	988
305	435	988
306	437	986
307	437	984
308	438	981
309	439	978
310	440	976
311	441	973
312	442	971
313	443	969
314	444	966
315	445	964
316	448	966
317	449	964
318	450	962
319	451	959
320	452	957
321	453	954
322	454	952
323	455	950
324	456	947
325	457	945
326	458	943
327	459	941
328	462	944
329	463	941
330	465	939
331	466	937
332	467	935
333	468	933
334	469	931
335	470	929
336	471	926
337	472	924
338	473	922
339	474	921
340	476	920
341	477	918
342	478	916
343	479	914
344	480	913
345	481	910
346	483	908
347	484	907
348	485	906
349	487	905
350	489	904
351	490	902
352	491	900
353	492	898
354	493	896
355	494	894
356	495	892
357	496	890
358	497	888
359	498	886
360	499	884
361	501	883
362	502	881
363	503	880
364	504	877
365	505	875
366	506	873
367	507	871
368	509	870
369	510	868
370	511	867
371	512	865
372	513	863
373	516	864
374	517	862
375	518	860
376	519	858
377	520	856
378	521	854
379	522	852
380	523	850
381	524	849
382	525	847
383	527	845
384	528	843
385	529	842
386	530	840
387	531	838
388	532	836
389	533	834
390	534	832
391	535	830
392	536	828
393	537	826
394	538	824
395	539	822
396	540	820
397	541	818
398	543	819
399	544	817
400	545	815
401	546	813
402	547	811
403	548	809
404	549	807
405	550	806
406	551	804
407	552	802
408	553	800
409	554	798
410	557	798
411	558	796
412	559	794
413	560	792
414	561	790
415	562	789
416	563	787
417	564	785
418	565	783
419	566	781
420	567	779
421	568	778
422	570	778
423	571	776
424	572	774
425	573	773
426	574	771
427	575	769
428	576	767
429	577	765
430	578	763
431	579	761
432	580	760
433	581	758
434	582	756
435	584	756
436	585	754
437	586	753
438	587	751
439	588	749
440	589	747
441	591	746
442	592	744
443	593	742
444	594	741
445	595	739
446	596	737
447	598	737
448	599	736
449	600	734
450	601	732
451	602	731
452	603	729
453	604	727
454	605	725
455	606	723
456	607	722
457	608	720
458	609	718
459	611	717
460	613	717
461	614	715
462	615	714
463	616	712
464	617	710
465	618	708
466	619	707
467	620	705
468	621	703
469	622	701
470	623	700
471	624	699
472	626	697
473	627	695
474	628	694
475	629	692
476	630	690
477	631	689
478	632	687
479	633	685
480	634	684
481	634	682
482	635	680
483	636	678
484	638	677
485	640	676
486	641	675
487	642	674
488	643	672
489	644	670
490	645	669
491	646	667
492	647	666
493	648	664
494	649	662
495	650	661
496	652	660
497	653	658
498	654	657
499	655	655
500	656	653
501	657	652
502	658	650
503	659	649
504	660	647
505	661	645
506	662	644
507	663	642
508	665	641
509	666	640
510	667	638
511	668	636
512	669	635
513	670	633
514	671	632
515	672	630
516	673	629
517	674	627
518	675	625
519	677	625
520	681	626
521	682	625
522	684	623
523	685	622
524	686	621
525	687	619
526	688	618
527	690	617
528	693	617
529	695	617
530	697	615
531	698	614
532	699	612
533	700	611
534	701	609
535	703	608
536	704	607
537	705	605
538	707	604
539	710	604
540	711	603
541	712	602
542	713	600
543	715	599
544	716	598
545	717	596
546	719	595
547	720	594
548	730	600
549	731	598
550	732	597
551	733	595
552	735	594
553	736	592
554	737	591
555	738	590
556	739	588
557	740	586
558	741	585
559	742	583
560	743	581
561	744	580
562	745	578
563	746	577
564	747	575
565	750	575
566	751	574
567	753	572
568	753	571
569	755	569
570	756	568
571	756	566
572	757	564
573	758	563
574	759	561
575	760	560
576	761	558
577	763	557
578	764	556
579	766	554
580	767	553
581	768	551
582	769	550
583	770	549
584	772	547
585	773	546
586	774	545
587	775	543
588	777	542
589	779	541
590	780	540
591	781	538
592	782	537
593	783	535
594	784	533
595	785	532
596	786	530
597	787	529
598	788	527
599	789	526
600	790	524
601	791	523
602	792	521
603	793	520
604	794	518
605	795	517
606	796	515
607	797	514
608	798	512
609	800	511
610	801	510
611	806	511
612	808	510
613	809	508
614	810	507
615	811	506
616	813	504
617	814	503
618	815	501
619	816	500
620	817	499
621	819	497
622	820	496
623	822	495
624	823	493
625	824	492
626	825	491
627	826	489
628	828	488
629	829	487
630	833	487
631	834	485
632	835	484
633	836	482
634	837	481
635	838	479
636	839	478
637	840	476
638	841	475
639	842	473
640	843	472
641	846	471
642	848	470
643	849	469
644	850	467
645	851	466
646	852	464
647	853	463
648	854	462
649	855	460
650	856	459
651	857	457
652	860	457
653	861	455
654	862	454
655	863	453
656	864	451
657	865	450
658	866	448
659	867	447
660	868	445
661	869	444
662	870	442
663	873	442
664	874	440
665	875	439
666	876	437
667	877	436
668	878	434
669	879	433
670	880	431
671	881	430
672	882	428
673	883	427
674	884	425
675	887	425
676	888	423
677	889	422
678	890	421
679	891	419
680	892	418
681	893	416
682	894	415
683	895	413
